id,maxDL1Mpos_abt,maxDL2Mpos_abt,maxDL1Mneg_abt,maxDL2Mneg_abt,maxDL1V_abt,maxDL2V_abt,maxDL1rxn_abt,maxDL2rxn_abt,maxDL1fbpos_abt,maxDL2fbpos_abt,maxDL1fbneg_abt,maxDL2fbneg_abt,maxLLMpos_abt,maxLLMneg_abt,maxLLV_abt,maxLLrxn_abt,maxLLfbpos_abt,maxLLfbneg_abt,ctrtg_st1_pos_abt,ctrtg_st1_neg_abt,ctrtg_sv2_pos_abt,ctrtg_sv2_neg_abt,ctrtg_v_abt,DL1M_ctrtg_st1_pos_abt,DL2M_ctrtg_st1_pos_abt,LLM_ctrtg_st1_pos_abt,DL1fb_ctrtg_st1_neg_abt,DL2fb_ctrtg_st1_neg_abt,LLfb_ctrtg_st1_neg_abt,DL1fb_ctrtg_sv2_pos_abt,DL2fb_ctrtg_sv2_pos_abt,LLfb_ctrtg_sv2_pos_abt,DL1fb_ctrtg_sv2_neg_abt,DL2fb_ctrtg_sv2_neg_abt,LLfb_ctrtg_sv2_neg_abt,DL1V_ctrtg_v_abt,DL2V_ctrtg_v_abt,LLV_ctrtg_v_abt,loc_ctrtg_st1_pos_abt,loc_ctrtg_st1_neg_abt,loc_ctrtg_sv2_pos_abt,loc_ctrtg_sv2_neg_abt,loc_ctrtg_v_abt,maxDL1Mpos_pier,maxDL2Mpos_pier,maxDL1Mneg_pier,maxDL2Mneg_pier,maxDL1V_pier,maxDL2V_pier,maxDL1rxn_pier,maxDL2rxn_pier,maxDL1fbpos_pier,maxDL2fbpos_pier,maxDL1fbneg_pier,maxDL2fbneg_pier,maxLLMpos_pier,maxLLMneg_pier,maxLLV_pier,maxLLrxn_pier,maxLLfbpos_pier,maxLLfbneg_pier,ctrtg_st1_pos_pier,ctrtg_st1_neg_pier,ctrtg_sv2_pos_pier,ctrtg_sv2_neg_pier,ctrtg_v_pier,DL1M_ctrtg_st1_pos_pier,DL2M_ctrtg_st1_pos_pier,LLM_ctrtg_st1_pos_pier,DL1fb_ctrtg_st1_neg_pier,DL2fb_ctrtg_st1_neg_pier,LLfb_ctrtg_st1_neg_pier,DL1fb_ctrtg_sv2_pos_pier,DL2fb_ctrtg_sv2_pos_pier,LLfb_ctrtg_sv2_pos_pier,DL1fb_ctrtg_sv2_neg_pier,DL2fb_ctrtg_sv2_neg_pier,LLfb_ctrtg_sv2_neg_pier,DL1V_ctrtg_v_pier,DL2V_ctrtg_v_pier,LLV_ctrtg_v_pier,loc_ctrtg_st1_pos_pier,loc_ctrtg_st1_neg_pier,loc_ctrtg_sv2_pos_pier,loc_ctrtg_sv2_neg_pier,loc_ctrtg_v_pier
Steel_3_1_1,1797739.155,465320.7473,-2681628.336,-734938.1202,24067.37737,7761.143098,16012.03511,6702.202503,6875.148915,1234.792478,-6847.69217,-2803.770655,4384269.5,-3951426,43923.82422,52870.92969,10879.68262,-12650.01367,1.865750908,1.128990431,2.833211286,1.845612232,1.327174783,1225510.373,175282.8818,3078021.25,-6845.103388,-2803.770655,-12650.01367,6741.614483,686.614067,10879.68262,-6845.103388,-2803.770655,-12650.01367,16012.03511,5903.099993,51253.79688,"0.5,2,1","0.083333,8,3","0.5,2,1","0.083333,8,3","1,8",1797738.68,465321.0153,-2681628.727,-734938.111,24067.37839,7761.143049,16011.9838,6702.202538,6875.171187,1234.793189,-6847.688757,-2803.77062,4384269,-3951426.75,43923.82422,52870.90625,10879.70117,-12650.01465,1.865747497,1.12899044,2.833206129,1.845612192,1.327179551,1225511.069,175283.1679,3078026.5,-6845.101732,-2803.77062,-12650.01465,6741.617957,686.6151875,10879.70117,-6845.101732,-2803.77062,-12650.01465,16011.9838,5903.090213,51253.64063,"0.5,2,1","0.083333,8,3","0.5,2,1","0.083333,8,3","1,8"
Steel_3_1_2,3835863.772,901707.2891,-4996837.373,-1361516.432,40960.13687,11085.92191,29482.33445,8223.640987,6397.988581,1189.252712,-8334.2692,-2225.456965,7719137.5,-5967795.5,68729.64063,79022.32813,9358.410156,-9925.833008,2.754789575,1.085113424,3.344548818,2.43476957,1.525817871,3486120.198,843134.7789,7719137.5,-6899.224417,-2225.456965,-9754.617188,5698.440475,1112.002015,9358.410156,-6899.224417,-2225.456965,-9754.617188,29482.02686,0,79022.32813,"0.73333,1,3","0.066667,8,3","0.73333,1,3","0.066667,8,3","1,5",3835863.757,901710.8251,-4996837.578,-1361516.22,40960.1355,11085.92189,29482.33781,8223.641421,6397.987121,1189.257375,-8334.272128,-2225.45662,7719138.5,-5967794.5,68729.71094,79022.3125,9358.411133,-9925.838867,2.754789206,1.085114151,3.344548369,2.434770479,1.525818467,3486120.263,843134.8425,7719138.5,-6899.216319,-2225.45662,-9754.616211,5698.441606,1112.002099,9358.411133,-6899.216319,-2225.45662,-9754.616211,29481.99901,0,79022.3125,"0.73333,1,3","0.066667,8,3","0.73333,1,3","0.066667,8,3","1,5"
Steel_3_1_3,26262961.43,2943178.015,-30821399.99,-3980621.926,126174.4792,16740.22627,85743.21384,12878.44714,11388.75153,1143.67183,-14469.87034,-1724.997341,26573786,-23914750,111731.125,112858.6719,9657.088867,-10363.42578,1.748071754,1.337547367,2.825609864,1.852761889,1.432957172,25534861.89,2454381.139,26573786,-14469.00228,-1201.306,-8642.12793,11072.95158,953.7331937,9657.088867,-13313.75423,-1724.997341,-10363.42578,,,,"0.66667,1,3","1,2,2","0.66667,1,3","0.030303,5,3","2,3,1,1",26262951.29,2943179.749,-30821117.2,-3980612.475,126174.2672,16740.328,85743.21966,12878.44821,11388.75174,1143.672504,-14469.85724,-1724.993245,26573840,-23914752,111731.0469,112850.9531,9657.108398,-10363.42676,1.748068386,1.337547225,2.825604433,1.852764427,1.4328475,25534857.2,2454378.958,26573840,-14468.99318,-1201.305846,-8642.133789,11072.94886,953.7323461,9657.108398,-13313.72179,-1724.993245,-10363.42676,,,,"0.66667,1,3","1,2,2","0.66667,1,3","0.030303,5,3","2,3,1,1"
Steel_3_1_4,1728246.101,382259.1668,-3128012.473,-815150.7665,32077.35034,7834.200133,20618.845,5654.252639,7686.182411,1237.199223,-5410.698188,-1389.963381,4728465.5,-5303227,61689.12109,76257.86719,13392.08984,-12347.93652,1.558121354,1.960678958,2.295936062,2.151266714,1.593128562,1608049.038,120749.47,4728465.5,-4474.167944,-993.0157848,-12347.93652,7151.819276,376.5841044,13392.08984,-4474.167944,-993.0157848,-12347.93652,20618.845,0,76257.86719,"0.63636,5,3","0.27273,1,2","0.63636,5,3","0.27273,1,2","1,4",1728245.912,382259.7993,-3128011.612,-815150.6499,32077.34577,7834.19991,20618.85371,5654.252885,7686.17892,1237.20127,-5410.699115,-1389.963182,4728465.5,-5303227,61689.08984,76257.875,13392.08984,-12347.93359,1.558121271,1.960680606,2.295935913,2.151268499,1.593128324,1608049.544,120749.5102,4728465.5,-4474.148179,-993.0150902,-12347.93359,7151.821742,376.5842298,13392.08984,-4474.148179,-993.0150902,-12347.93359,20618.85371,0,76257.875,"0.63636,5,3","0.27273,1,2","0.63636,5,3","0.27273,1,2","1,4"
Steel_3_1_5,36142406.77,3701715.71,-42613231.88,-5456751.466,149634.2828,21497.65971,102405.1515,13996.82941,10027.66412,868.2652339,-13518.33862,-1362.901846,37760748,-28082684,91572.57813,102907.2969,8331.87793,-7653.953125,2.003762734,1.851307524,3.451920625,2.655029594,2.17051363,22625056.67,1758286.753,23711944,-12861.5835,-720.5028274,-7653.953125,9731.255786,657.3778359,8269.948242,-12861.5835,-720.5028274,-7653.953125,74361.39605,3583.074046,102903.8672,"0.62857,4,3","1,2,2","0.62857,4,3","1,2,2","1,2",36142393.04,3701719.234,-42613179.92,-5456736.548,149634.3148,21497.6527,102404.1813,13996.6166,10027.66992,868.2660603,-13518.3381,-1362.89812,37760904,-28082668,91572.57813,102907.375,8331.912109,-7653.953613,2.003758834,1.851306486,3.451914046,2.655028434,2.170443535,22625061.08,1758288.372,23711988,-12861.59317,-720.5030184,-7653.953613,9731.255797,657.3784411,8269.963867,-12861.59317,-720.5030184,-7653.953613,74361.41241,3583.065397,102907.1875,"0.62857,4,3","1,2,2","0.62857,4,3","1,2,2","1,2"
Steel_3_1_6,22691781.15,2615281.221,-27904509.67,-3702545.476,115458.0109,14986.68416,101772.7256,12641.78392,11627.27187,1189.926627,-14748.92063,-1897.228663,18236044,-20287116,148699.2656,151871.6563,7656.980469,-10395.36133,2.336471087,1.107243915,3.49509013,1.761429559,0.656665623,22691781.15,2378822.309,18236044,-14298.8656,-1897.228663,-10395.36133,11627.27187,1082.340203,7656.980469,-14298.8656,-1897.228663,-10395.36133,101770.1518,10048.92076,151871.6563,"0.55556,8,3","0.027778,8,3","0.55556,8,3","0.027778,8,3","1,8",22691791.54,2615283.473,-27904499.13,-3702538.384,115457.8507,14986.70568,101772.7502,12641.78618,11627.2806,1189.927652,-14748.91781,-1897.225029,18236072,-20287124,148699.3125,151863.3125,7656.992188,-10395.36523,2.336466977,1.107244311,3.49508377,1.761429772,0.656706631,22691791.54,2378825.254,18236072,-14298.85741,-1897.225029,-10395.36523,11627.2806,1082.341543,7656.992188,-14298.85741,-1897.225029,-10395.36523,101769.5286,10048.49204,151863.3125,"0.55556,8,3","0.027778,8,3","0.55556,8,3","0.027778,8,3","1,8"
Steel_3_1_7,2946746.295,947835.6318,-3750346.353,-1609847.64,55565.98986,13328.5911,51994.47556,10544.09934,6656.655168,1577.782104,-8350.867282,-3528.164592,5248961,-6476393,95993.17969,103165.1641,7836.25,-14193.75391,3.085000496,0.683693549,3.963735968,1.565029346,0.933040261,2946746.295,280996.388,5248961,-7594.101605,-3528.164592,-14193.75391,6656.655168,464.2710631,7836.25,-7594.101605,-3528.164592,-14193.75391,51993.89294,10544.09934,103165.1641,"0.4,2,1","0.066667,5,3","0.4,2,1","0.066667,5,3","1,5",2946746.795,947835.6148,-3750344.055,-1609847.688,55566.01239,13328.59058,51994.47945,10544.09639,6656.655735,1577.782076,-8350.866171,-3528.164698,5248962.5,-6476393,95993.17969,103165.1641,7836.252441,-14193.75391,3.084999471,0.683693657,3.963734587,1.565029462,0.93304038,2946746.795,280996.943,5248962.5,-7594.099357,-3528.164698,-14193.75391,6656.655735,464.2719801,7836.252441,-7594.099357,-3528.164698,-14193.75391,51993.88214,10544.09639,103165.1641,"0.4,2,1","0.066667,5,3","0.4,2,1","0.066667,5,3","1,5"
Steel_3_1_8,4521077.34,1096302.541,-5501750.233,-1894954.575,36979.80707,14089.70205,25808.23865,10171.31655,6907.13924,1343.844635,-8837.852048,-2830.567019,7489519.5,-6355645,52287.47656,56526.09766,8284.436523,-9493.672852,2.979407505,1.429699683,3.670931938,2.346110071,1.48128593,4506247.292,1006465.714,7489519.5,-8214.271043,-2830.567019,-9493.672852,6731.193697,1233.722899,8284.436523,-8214.271043,-2830.567019,-9493.672852,25807.17674,10171.31655,53132.94922,"0.63158,1,3","0.052632,10,3","0.63158,1,3","0.052632,10,3","1,10",4521077.712,1096302.744,-5501747.67,-1894954.054,36979.79354,14089.70207,25808.24225,10171.27403,6907.13736,1343.844884,-8837.857736,-2830.56624,7489522.5,-6355644.5,52287.48828,56526.10938,8284.439453,-9493.671875,2.979406299,1.429700572,3.670930867,2.346111112,1.481326222,4506247.652,1006465.483,7489522.5,-8214.261954,-2830.56624,-9493.671875,6731.191533,1233.722616,8284.439453,-8214.261954,-2830.56624,-9493.671875,25807.04593,10171.27403,53131.58984,"0.63158,1,3","0.052632,10,3","0.63158,1,3","0.052632,10,3","1,10"
Steel_3_1_9,10887478.46,1796281.534,-14126475.99,-2823961.729,76197.13389,16005.36577,52973.57632,11316.06734,8843.572352,1210.28353,-11474.30144,-2224.275865,13789501,-11139543,72629.94531,85171.57031,8524.433594,-8773.991211,2.469207237,1.450791729,3.427375648,2.439852437,1.919094086,10609769.07,1724652.612,13789501,-9946.307149,-2224.275865,-8773.991211,8356.611053,1162.021995,8524.433594,-9946.307149,-2224.275865,-8773.991211,,,,"0.66667,1,3","0.041667,8,3","0.66667,1,3","0.041667,8,3","2,3,1,1",10887478.53,1796304.835,-14126472.48,-2823960.406,76197.11065,16005.36517,52973.52334,11315.9488,8843.574658,1210.29923,-11474.29882,-2224.274823,13789513,-11139543,72630.07813,85173.16406,8524.44043,-8773.991211,2.469205048,1.450792766,3.427373009,2.439853554,1.919033766,10609770.18,1724652.263,13789513,-9946.295451,-2224.274823,-8773.991211,8356.610077,1162.02176,8524.44043,-9946.295451,-2224.274823,-8773.991211,,,,"0.66667,1,3","0.041667,8,3","0.66667,1,3","0.041667,8,3","2,3,1,1"
Steel_3_1_10,4464605.827,997851.4724,-5725256.859,-1517257.41,44603.56058,12160.28032,30090.15435,8353.910057,7842.647374,1160.041437,-10057.06825,-2085.31813,8412635,-6342262.5,61989.11719,74284.09375,10143.47949,-11140.88477,2.372460987,1.172940973,3.006496891,2.074447232,1.638706446,4464344.687,9484.845606,8412635,-10053.59698,98.12781029,-11140.88477,7842.188961,12.56961731,10143.47949,-10053.59698,98.12781029,-11140.88477,28161.93288,588.2927168,74284.09375,"0.6875,4,3","1,3,2","0.6875,4,3","1,3,2","4,2",4464606.255,997851.2555,-5725255.97,-1517257.482,44603.55814,12160.28043,30090.1572,8353.892768,7842.64829,1160.041185,-10057.06669,-2085.318229,8412635,-6342263.5,61989.11719,74284.09375,10143.47949,-11140.88672,2.372460948,1.172940902,3.006496838,2.074447014,1.638706446,4464345.146,9484.844099,8412635,-10053.59485,98.12779742,-11140.88672,7842.189653,12.56961531,10143.47949,-10053.59485,98.12779742,-11140.88672,28161.93541,588.2927219,74284.09375,"0.6875,4,3","1,3,2","0.6875,4,3","1,3,2","4,2"
