id,suite,type,spans,length,width,n_lanes,skew,gdr_spacing,span2depth,t_deck,n_dia,dia_spacing,dia_type,dia_section,intgdr_Ix,ingdr_A,intgdr_d,intgdr_tw,intgdr_tf,intgdr_bf,intgdr_sectcomp,intgdr_flangecomp,intgdr_webcomp,intgdr_mnpos,intgdr_fnneg,intgdr_vn,intgdr_dfm,intgdr_dfv,extgdr_Ix,exgdr_A,extgdr_d,extgdr_tw,extgdr_tf,extgdr_bf,extgdr_sectcomp,extgdr_flangecomp,extgdr_webcomp,extgdr_mnpos,extgdr_fnneg,extgdr_vn,extgdr_dfm,extgdr_dfv,dia_emultiplier,dia_e,gdr_e,deck_e,intgdr_dlmpos,intgdr_sdlmpos,intgdr_llmpos,intgdr_dlmneg,intgdr_sdlmneg,intgdr_llmneg,intgdr_dlv,intgdr_sdlv,intgdr_llv,intgdr_ftgstress,intgdr_st1rtgpos,intgdr_sv2rtgpos,intgdr_st1rtgneg,intgdr_sv2rtgneg,intgdr_vrtg,extgdr_dlmpos,extgdr_sdlmpos,extgdr_llmpos,extgdr_dlmneg,extgdr_sdlmneg,extgdr_llmneg,extgdr_dlv,extgdr_sdlv,extgdr_llv,extgdr_ftgstress,extgdr_st1rtgpos,extgdr_sv2rtgpos,extgdr_st1rtgneg,extgdr_sv2rtgneg,extgdr_vrtg
Steel_1_1_1,1,Steel,1,1026.847164,775.4386448,5,15.29909456,110.7769493,26.68585307,7.850510679,5,205.3694329,Chevron,L2X2X1/8,22680.42658,82.05954519,38,0.399669182,2.717325423,12.7044369,1,,,83380137.63,,258675.7039,0.708684142,0.948013079,23332.47841,84.33717837,38,0.380785608,2.880721356,12.50749219,1,,,81129083.24,,225982.7941,0.745031703,0.784692566,17.84478022,517498626.2,29000000,3604996.533,12652566.73,926732.021,27193347.59,,,,49287.04939,3610.009563,115710.401,11999.40956,1.97004358,2.157130216,,,1.026570762,12742799.36,926732.021,27193347.59,,,,49638.5433,3610.009563,115710.401,11999.40845,1.97004358,2.157130216,,,1.026570762
Steel_1_1_2,1,Steel,1,558.6585845,551.2656226,3,6.972710004,91.87760377,25.43970654,8.681321079,3,186.2195282,Beam,C12X20.7,4147.713832,46.59830524,21,0.332704663,1.189926766,16.97721946,1,,,32189394.11,,179655.2769,0.620912644,0.817462235,3652.049935,46.84184844,21,0.313686896,2.656366665,7.890657377,1,,,29588131.03,,142705.8097,0.651444118,0.674143477,2.8465884,82551063.61,29000000,3604996.533,3147427.127,313350.7989,11082342.85,,,,22545.81012,2244.610384,89967.57794,11984.64238,2.315146862,2.484986482,,,1.176910647,3150281.696,313350.7989,11082342.85,,,,22566.25811,2244.610384,89967.57794,11994.91732,2.315146862,2.484986482,,,1.176910647
Steel_1_1_3,1,Steel,1,1261.266819,540.3898531,3,48.10191042,108.0779706,24.41769832,8.442119145,6,210.2111365,Chevron,L2X2X1/8,41093.34932,82.92003355,51,0.496076135,1.286091324,22.8973433,1,,,114454935,,332628.534,0.617649469,1.070402964,39942.94251,98.19313959,51,1.003536,1.463112127,17.06956495,1,,,127321628.2,,1399069.174,0.665657124,0.883374235,1.537901395,44599140.45,29000000,3604996.533,19568830.55,1864042.615,36373393.09,,,,62066.50447,5912.188213,132195.8957,11999.58239,2.230246557,2.31802712,,,1.029945341,20481619,1864042.615,36373393.09,,,,64961.59767,5912.188213,132195.8957,11855.33865,2.230246557,2.31802712,,,1.029945341
Steel_1_1_4,1,Steel,1,1700.816141,757.4019823,5,4.388739807,126.2336637,20.18804582,8.457583591,8,212.6020176,Chevron,L3X2X3/16,103734.9166,95.10638866,84,0.619069683,1.610617049,14.00044279,1,,,214596009.4,,387552.7193,0.764743214,0.997930794,204706.7205,163.1048374,84,0.693434656,3.385726806,16.17848887,1,,,337794170.7,,569702.5483,0.800740417,0.808661368,22.78431972,660745271.9,29000000,3604996.533,41476404.34,2905689.725,55559732.71,,,,97544.71003,6833.636286,147206.1061,11999.99401,2.140183459,1.740993829,,,1.033235857,48867042.89,2905689.725,55559732.71,,,,114926.1033,6833.636286,147206.1061,6726.441984,2.140183459,1.740993829,,,1.033235857
Steel_1_1_5,1,Steel,1,1883.786336,623.3219098,4,26.3907934,124.664382,28.52485091,8.507258893,8,235.473292,Chevron,L2-1/2X1-1/2X3/16,95867.98057,137.4864184,66,1.023796449,2.125401766,17.47147564,1,,,232556862.1,,1833339.633,0.731588216,1.056566287,100301.5063,136.335274,66,0.874812173,2.471399901,16.77625948,1,,,223527142.6,,1338535.142,0.795714516,0.859779364,9.76092504,283066826.2,29000000,3604996.533,55749674.97,4158406.63,64312729.33,,,,118382.7183,8830.248444,153273.9805,11442.72126,1.915222199,1.642792966,,,5.946888097,55596197.84,4158406.63,64312729.33,,,,118056.8143,8830.248444,153273.9805,11715.76533,1.915222199,1.642792966,,,5.946888097
Steel_1_1_6,1,Steel,1,1297.839121,755.089003,5,45.20273545,83.89877812,20.98984869,8.237698313,6,216.3065202,Chevron,L2X2X1/8,44693.91265,70.71375124,61,0.48951542,2.110519433,10.16801209,1,,,113896292.9,,272597.0075,0.533435901,0.876958017,46767.55148,72.32420868,61,0.465016532,2.232697588,10.30920691,1,,,113949937.2,,234693.0412,0.556815701,0.706596635,1.891268575,54846788.68,29000000,3604996.533,16776445.9,1184334.177,37870302.7,,,,51705.77963,3650.172529,132528.6363,11999.96208,2.587300735,2.494584795,,,1.022499764,16878365.85,1184334.177,37870302.7,,,,52019.90161,3650.172529,132528.6363,11996.12518,2.587300735,2.494584795,,,1.022499764
Steel_1_1_7,1,Steel,1,708.8807762,548.1072756,3,26.99452264,109.6214551,25.39674691,7.558169091,3,236.2935921,Beam,C15X33.9,6841.91085,57.87629396,27,0.399827909,4.203483895,6.000056386,1,,,45448029.87,,215586.3825,0.717490887,0.99746202,6975.33535,58.84827925,27,0.351083918,4.369565373,6.000274311,1,,,42306194.12,,185921.8284,0.740235988,0.826250346,19.24233303,558027657.8,29000000,3604996.533,5355643.801,588712.0269,15934062.66,,,,30228.96351,3322.878638,99477.36918,11999.99137,1.901072391,1.818374588,,,1.023937583,5373990.144,588712.0269,15934062.66,,,,30332.51613,3322.878638,99477.36918,11999.95593,1.901072391,1.818374588,,,1.023937583
Steel_1_1_8,1,Steel,1,1678.226757,690.3177305,4,30.94669287,138.0635461,26.89105719,7.973983372,7,239.7466796,Chevron,L2-1/2X1-1/2X3/16,79778.83004,112.6290791,62,0.570742676,2.483074478,16.12465254,1,,,184345567.3,,430128.0236,0.774459751,1.152191834,84102.92704,115.1404983,62,0.54625325,1.966266561,21.21303322,1,,,182413091.3,,370389.4564,0.801378981,0.914783802,9.085637765,263483495.2,29000000,3604996.533,42487887.85,3300521.545,54511546.07,,,,101268.5268,7866.687932,145655.5805,11999.97702,1.720723378,1.692601994,,,1.033544889,42753647.29,3300521.545,54511546.07,,,,101901.956,7866.687932,145655.5805,11999.8964,1.720723378,1.692601994,,,1.033544889
Steel_1_1_9,1,Steel,1,1774.485133,693.6039713,4,53.7076949,115.6006619,28.60786243,7.52119631,8,221.8106416,Chevron,L2X2X1/8,117241.1994,178.6172578,62,1.06290571,3.630305749,16.58736997,1,,,265570953.5,,1687301.45,0.635171282,1.099681836,84449.24334,115.5376246,62,0.544585535,1.995810279,21.03083172,1,,,180383294,,367381.2329,0.667723194,0.924284232,1.148951426,33319591.35,29000000,3604996.533,48864754.09,3162854.617,59029511.94,,,,110149.7065,7129.627768,149420.1827,7814.426845,3.056546382,3.132909737,,,5.389013317,41401948.83,3162854.617,59029511.94,,,,93327.23749,7129.627768,149420.1827,11999.40358,3.056546382,3.132909737,,,5.389013317
Steel_1_1_10,1,Steel,1,654.6864591,684.6643678,4,30.33647561,97.8091954,29.11730993,7.508068332,3,218.2288197,Beam,C12X20.7,4769.425291,56.48210759,22,0.412593348,2.791926947,8.902259235,1,,,35660747.17,,196422.588,0.632546602,0.944204822,4134.045234,55.69850712,22,0.422452701,4.159935768,6.000008496,1,,,32476142.49,,167597.0092,0.660159733,0.785093893,7.605458487,220558296.1,29000000,3604996.533,4202381.686,376587.3068,14142214.26,,,,25684.1809,2301.632083,96593.02707,11867.73366,1.913288318,2.033213068,,,1.029516745,4189766.721,376587.3068,14142214.26,,,,25607.08057,2301.632083,96593.02707,11999.99809,1.913288318,2.033213068,,,1.029516745
