id,suite,type,spans,length,width,n_lanes,skew,gdr_spacing,n_gdr,span2depth,t_deck,n_dia,dia_spacing,dia_type,dia_section,intgdr_Ix,ingdr_A,intgdr_d,intgdr_tw,intgdr_tf,intgdr_bf,intgdr_sectcomp,intgdr_flangecomp,intgdr_webcomp,intgdr_mnpos,intgdr_fnneg,intgdr_vn,intgdr_dfm,intgdr_dfv,extgdr_Ix,exgdr_A,extgdr_d,extgdr_tw,extgdr_tf,extgdr_bf,extgdr_sectcomp,extgdr_flangecomp,extgdr_webcomp,extgdr_mnpos,extgdr_fnneg,extgdr_vn,extgdr_dfm,extgdr_dfv,dia_emultiplier,dia_e,gdr_e,deck_e,intgdr_dlmpos,intgdr_sdlmpos,intgdr_llmpos,intgdr_dlmneg,intgdr_sdlmneg,intgdr_llmneg,intgdr_dlv,intgdr_sdlv,intgdr_llv,intgdr_ftgstress,intgdr_st1rtgpos,intgdr_sv2rtgpos,intgdr_st1rtgneg,intgdr_sv2rtgneg,intgdr_vrtg,extgdr_dlmpos,extgdr_sdlmpos,extgdr_llmpos,extgdr_dlmneg,extgdr_sdlmneg,extgdr_llmneg,extgdr_dlv,extgdr_sdlv,extgdr_llv,extgdr_ftgstress,extgdr_st1rtgpos,extgdr_sv2rtgpos,extgdr_st1rtgneg,extgdr_sv2rtgneg,extgdr_vrtg
Steel_2_1_1,1,Steel,2,1376.47461,588.751495,4,7.678388806,117.750299,6,20.9158454,8.93714341,5,229.4124349,Chevron,L2-1/2X1-1/2X3/16,62080.63113,85.51758671,65,0.563401199,1.573386488,16.10202096,1,0,1,100568259.7,43073.49402,381505.0866,0.722829074,0.961690854,118432.3949,155.6301435,65,0.52773169,5.882826263,10.83974655,1,0,1,216391265.5,38273.12536,364298.1639,0.771975609,0.787407014,12.59528146,365263162.2,29000000,3604996.533,14627104.99,1248925.627,32821052.66,-26003960.68,-2220330.88,-37152997.56,94458.55557,8065.280915,150536.7849,11999.99345,1.950288503,3.111942148,1.000019419,1.772697962,1.039805668,17436656,1248925.627,32821052.66,-30998760,-2220330.88,-37152997.56,112602.0044,8065.280915,150536.7849,6278.483584,1.950288503,3.111942148,1.000019419,1.772697962,1.039805668
Steel_2_1_2,1,Steel,2,1665.069834,472.6296299,3,53.82660759,78.77160498,7,26.11468979,7.539702789,6,237.8671191,Chevron,L2X2X1/8,62673.04341,90.55403254,63,0.538957029,2.725087293,10.9238977,1,0,1,98554589.31,37059.67902,358944.915,0.485377914,0.870069529,65325.75615,92.25729158,63,0.511494232,2.666549449,11.7682056,1,0,1,102908888.3,38419.86242,306199.8699,0.502022607,0.684079553,11.45102657,332079770.4,29000000,3604996.533,15083423.55,1566460.451,43002416.12,-26815129.41,-2784834.594,-48448105.8,80522.53684,8362.515906,162683.3571,11998.82017,2.135986707,3.478976761,1.000477226,1.983916193,1.042738457,15134209.86,1566460.451,43002416.12,-26905416.7,-2784834.594,-48448105.8,80793.65849,8362.515906,162683.3571,11999.99994,2.135986707,3.478976761,1.000477226,1.983916193,1.042738457
Steel_2_1_3,1,Steel,2,939.0426039,472.1319352,3,57.32976403,118.0329838,5,24.37553815,7.679531617,3,234.760651,Chevron,L2X2X1/8,18751.61102,69.61107191,38,0.440618985,2.442565464,11.26275482,1,0,1,58731964.45,38414.07818,339567.8412,0.621004701,1.230526193,20210.1356,71.53973616,38,0.428738732,1.663020734,17.03937479,1,0,1,57516681.15,44192.73472,299905.2901,0.636729057,1.00805673,23.33649032,676758219.1,29000000,3604996.533,5702834.749,697467.4239,19049307.98,-10139113.56,-1240032.673,-21795012.31,53986.44066,6602.643309,122506.7081,11999.9622,2.454306443,3.376510863,1.00010249,2.054119962,1.031372349,4971255.558,604186.4054,18071192.86,-12323387.76,-1497734.982,-26681842,56584.67832,6877.074211,125036.5767,11999.99855,2.454306443,3.376510863,1.00010249,2.054119962,1.031372349
Steel_2_1_4,1,Steel,2,1796.698848,827.3224987,5,30.72734201,63.64019221,14,22.50476176,8.059940377,7,224.587356,Cross,L2-1/2X1-1/2X3/16,82114.47975,83.57004402,79,0.558177815,1.565320119,13.1670992,1,0,1,108503776.3,39967.24329,302454.9442,0.451413996,0.678260617,93498.99858,90.78158408,79,0.542902909,1.896850814,13.16705182,1,0,1,126265367.6,40376.04297,280751.2425,0.529048537,0.593947051,15.29144255,443451833.8,29000000,3604996.533,15804835.49,911945.8072,47933194.1,-28098040.33,-1621269.015,-53952265.47,78193.51684,4511.799563,167716.0309,11999.99325,2.321402444,3.646373583,1.077800035,2.108936143,1.028338982,16296830.62,911945.8072,47933194.1,-28972715.61,-1621269.015,-53952265.47,80627.63452,4511.799563,167716.0309,11999.99383,2.321402444,3.646373583,1.077800035,2.108936143,1.028338982
Steel_2_1_5,1,Steel,2,1365.806459,741.2228099,5,27.98791764,123.537135,7,28.0091798,8.245881231,5,227.6344098,Chevron,L2X2X1/8,46067.12113,104.9974662,48,0.5097506,2.696126833,15.4440327,1,0,1,96401325.96,43410.03668,410198.4995,0.744040512,1.065606051,47809.64364,108.1787347,48,0.486706422,2.827870455,15.48329622,1,0,1,99426549.52,43487.82613,359265.9727,0.792025507,0.868105738,26.91140418,780430721.2,29000000,3604996.533,14903603.86,1053951.189,32463613.79,-26496201.88,-1873755.083,-36757723.55,96998.3767,6859.519043,150348.2624,11999.99514,1.814447079,2.934511678,1.000010136,1.668557201,1.030600511,15029528.25,1053951.189,32463613.79,-26720075.12,-1873755.083,-36757723.55,97817.941,6859.519043,150348.2624,11999.99068,1.814447079,2.934511678,1.000010136,1.668557201,1.030600511
Steel_2_1_6,1,Steel,2,909.9730567,603.6857909,4,0.784752255,120.7371582,6,21.16990007,8.632094987,3,227.4932642,Chevron,L2X2X1/8,21955.92583,66.4177325,42,0.43266813,2.031336759,12.30801839,1,0,1,63642430.3,40197.7104,281713.327,0.757821862,0.958528322,22555.28219,67.67980936,42,0.412307843,2.15411347,12.10223984,1,0,1,64510056.8,40008.9673,245373.4753,0.782564301,0.784772431,10.07281577,292111657.4,29000000,3604996.533,5993380.336,545666.3749,18209858.82,-10658178.82,-970372.2233,-20728348.53,58563.15605,5331.873379,120314.4718,11999.96052,2.300262286,3.112501474,1.000094434,1.917865761,1.03315322,6015458.375,545666.3749,18209858.82,-10697440.75,-970372.2233,-20728348.53,58778.88733,5331.873379,120314.4718,11999.99845,2.300262286,3.112501474,1.000094434,1.917865761,1.03315322
Steel_2_1_7,1,Steel,2,526.5274243,578.6668026,4,23.0949985,82.66668609,8,25.83184754,8.667577349,2,175.5091414,Beam,C12X20.7,2830.958443,41.4392175,20,0.400921787,2.544991982,6.966911385,1,0,1,23016941.52,35168.47986,173354.758,0.573833365,0.828618747,2896.779856,42.25246814,20,0.344193953,2.701846388,6.889456711,1,0,1,23221835.43,35049.59825,145694.8597,0.590322724,0.664756138,17.84339032,517458319.3,29000000,3604996.533,1423532.931,136932.989,7994087.308,-2533051.244,-243660.1715,-6457979.481,24054.31443,2313.84122,96818.21867,11999.99953,2.625985535,3.288944631,1.000000851,2.940142905,1.020602175,1428293.64,136932.989,7994087.308,-2541522.507,-243660.1715,-6457979.481,24134.75908,2313.84122,96818.21867,11999.98774,2.625985535,3.288944631,1.000000851,2.940142905,1.020602175
Steel_2_1_8,1,Steel,2,1038.19653,815.7129702,5,16.91397297,116.5304243,8,29.35489087,8.52691816,4,207.639306,Chevron,L2X2X1/8,20777.93726,89.36358974,35,0.425690965,2.880533156,13.35114641,1,0,1,67290331.45,42940.55039,316948.7244,0.713914332,0.993141957,21686.58616,92.82318084,35,0.398790768,2.989349893,13.58987023,1,0,1,69635993.42,43197.90906,278157.2174,0.767494924,0.817026384,23.89884081,693066383.5,29000000,3604996.533,8185431.154,532803.2234,21988106.22,-14553800.42,-947330.8899,-25299040.67,70091.74084,4562.387094,128671.587,11999.99994,2.057007809,3.021213015,1.000000099,1.763623171,1.025501976,8264232.47,532803.2234,21988106.22,-14693910.16,-947330.8899,-25299040.67,70766.51549,4562.387094,128671.587,11999.9714,2.057007809,3.021213015,1.000000099,1.763623171,1.025501976
Steel_2_1_9,1,Steel,2,1339.80573,599.7091845,4,13.745403,119.9418369,6,29.479094,8.437936799,5,223.3009549,Chevron,L2-1/2X1-1/2X3/16,40948.87107,105.5750696,45,0.487607067,2.824738649,15.29123352,1,0,1,91150345.64,43592.13044,388748.6234,0.720899207,0.995863996,42820.3235,109.6878819,45,0.466620396,2.946072904,15.51885553,1,0,1,95004423.85,43806.89883,342796.6429,0.77979633,0.815820713,20.03091899,580896650.7,29000000,3604996.533,14196104.75,1183279.874,31588464.37,-25237519.55,-2103608.664,-35794603.03,94183.50357,7850.424198,149864.9266,11999.97517,1.810567879,2.959287032,1.000046572,1.672127941,1.037676649,14352131.83,1183279.874,31588464.37,-25514901.03,-2103608.664,-35794603.03,95218.65918,7850.424198,149864.9266,11999.9998,1.810567879,2.959287032,1.000046572,1.672127941,1.037676649
Steel_2_1_10,1,Steel,2,559.9555962,645.4682818,4,32.6117493,92.20975455,8,27.08063994,7.988852297,2,186.6518654,Beam,C12X20.7,3204.780324,47.75587377,20,0.470516871,2.704139561,7.560671703,1,0,1,25054805.36,35576.71527,199103.8745,0.603099239,0.930581773,3294.16732,49.03002393,20,0.412656624,2.870872964,7.514484528,1,0,1,25346800.74,35554.35498,170629.1266,0.6270801,0.766704572,9.01066414,261309260.1,29000000,3604996.533,1677189.151,154944.3025,8802018.739,-2983019.996,-275581.2917,-6943471.263,26636.21916,2460.742366,99926.83902,11999.99998,2.451872126,3.115860471,1.000000037,2.832232442,1.018901762,1685629.652,154944.3025,8802018.739,-2998032.126,-275581.2917,-6943471.263,26770.26667,2460.742366,99926.83902,11999.94592,2.451872126,3.115860471,1.000000037,2.832232442,1.018901762
