id	st1tol_LDabt	st1tol_TD1abt	st1tol_TD2abt	sv2tol_LDabt	sv2tol_TD1abt	sv2tol_TD2abt	vtol_LDabt	vtol_TD1abt	vtol_TD2abt	DL1M_ctrltol_LDabt	DL1M_ctrltol_TD1abt	DL1M_ctrltol_TD2abt	DL2M_ctrltol_LDabt	DL2M_ctrltol_TD1abt	DL2M_ctrltol_TD2abt	LLM_ctrltol_LDabt	LLM_ctrltol_TD1abt	LLM_ctrltol_TD2abt	SettM_ctrltol_LDabt	SettM_ctrltol_TD1abt	SettM_ctrltol_TD2abt	DL1fb_ctrltol_LDabt	DL1fb_ctrltol_TD1abt	DL1fb_ctrltol_TD2abt	DL2fb_ctrltol_LDabt	DL2fb_ctrltol_TD1abt	DL2fb_ctrltol_TD2abt	LLfb_ctrltol_LDabt	LLfb_ctrltol_TD1abt	LLfb_ctrltol_TD2abt	Settfb_ctrltol_LDabt	Settfb_ctrltol_TD1abt	Settfb_ctrltol_TD2abt	DL1V_ctrltol_LDabt	DL1V_ctrltol_TD1abt	DL1V_ctrltol_TD2abt	DL2V_ctrltol_LDabt	DL2V_ctrltol_TD1abt	DL2V_ctrltol_TD2abt	LLV_ctrltol_LDabt	LLV_ctrltol_TD1abt	LLV_ctrltol_TD2abt	SettV_ctrltol_LDabt	SettV_ctrltol_TD1abt	SettV_ctrltol_TD2abt	loc_ctrlst1tol_LDabt	loc_ctrlst1tol_TD1abt	loc_ctrlst1tol_TD2abt	loc_ctrlsv2tol_LDabt	loc_ctrlsv2tol_TD1abt	loc_ctrlsv2tol_TD2abt	loc_ctrlvtol_LDabt	loc_ctrlvtol_TD1abt	loc_ctrlvtol_TD2abt	st1tol_LDpier	st1tol_TD1pier	st1tol_TD2pier	sv2tol_LDpier	sv2tol_TD1pier	sv2tol_TD2pier	vtol_LDpier	vtol_TD1pier	vtol_TD2pier	DL1M_ctrltol_LDpier	DL1M_ctrltol_TD1pier	DL1M_ctrlst1tol_TD2pier	DL2M_ctrltol_LDpier	DL2M_ctrltol_TD1pier	DL2M_ctrltol_TD2pier	LLM_ctrltol_LDpier	LLM_ctrltol_TD1pier	LLM_ctrltol_TD2pier	SettM_ctrltol_Ldpier	SettM_ctrltol_TD1pier	SettM_ctrltol_TD2pier	DL1fb_ctrltol_Ldpier	DL1fb_ctrltol_TD1pier	DL1fb_ctrltol_TD2pier	DL2fb_ctrltol_LDpier	DL2fb_ctrltol_TD1pier	DL2fb_ctrltol_TD2pier	LLfb_ctrltol_LDpier	LLfb_ctrltol_TD1pier	LLfb_ctrltol_TD2pier	Settfb_ctrltol_LDpier	Settfb_ctrltol_TD1pier	Settfb_ctrltol_TD2pier	DL1V_ctrltol_LDpier	DL1V_ctrltol_TD1pier	DL1V_ctrltol_TD2pier	DL2V_ctrltol_Ldpier	DL2V_ctrltol_TD1pier	DL2V_ctrltol_TD2pier	LLV_ctrltol_LDpier	LLV_ctrltol_TD1pier	LLV_ctrltol_TD2pier	SettV_ctrltol_LDpier	SettV_ctrltol_TD1pier	SettV_ctrltol_TD2pier	loc_ctrlst1tol_LDpier	loc_ctrlst1tol_TD1pier	loc_ctrlst1tol_TD2pier	loc_ctrlsv2tol_LDpier	loc_ctrlsv2tol_TD1pier	loc_ctrlsv2tol_TD2pier	loc_ctrlvtol_LDpier	loc_ctrlvtol_TD1pier	loc_ctrlvtol_TD2pier
Steel_2_1_1	10.49032892	10.84961225	10.74454361	12.62070193	15.79369022	15.74867792	14.46787834	13.86549568	13.67493057	-35960765.69	-35960946.69	-35960765.69	-4581741.974	-4323772.854	-4581741.974	-19792292	-19523420	-19792292	-5187989.144	-5089261.175	-5065241.907	-12379.26414	-9849.401557	-9849.360078	-473.8745709	-1184.242885	-1254.89833	-6088.75	-5347.291016	-5420.932617	-1523.804809	-1393.90332	-1387.324657	246408.5781	246409.5	246408.5781	38457.9141	36148.6836	38457.9141	119066.2344	118964.5156	119066.2344	6751.0537	7562.5029	7222.7744	"1,6,1"	"0.034483,1,2"	"1,6,1"	"0.034483,3,2"	"0.034483,1,2"	"1,6,1"	"2,6"	"2,1"	"2,6"	20.79570021	26.28213989	26.15933276	22.58965212	23.74603381	23.64161327	15.85553837	15.00332737	14.89454174	9391885.125	5434851.475	8758236.255	623206.0479	684138.4796	1035627.563	12742988	14168607	16819744	3161671.213	6998953.149	6678854.742	1491.415097	1491.415097	1499.624999	171.070882	171.070882	184.9463359	3291.815674	3291.815674	3263.347168	1839.6987	1750.10926	1758.470409	74665.4531	74665.9766	74665.4531	11654.5352	10913.708	11654.5352	74620.5469	74620.9063	74620.5469	7934.9072	8447.2578	8446.8682	"0.48276,2,2"	"0.34483,1,2"	"0.37931,6,2"	"0.34483,1,2"	"0.34483,1,2"	"0.34483,6,2"	"1,6"	"3,1"	"1,6"
Steel_2_1_2	5.65695243	2.184727395	7.262117657	17.45170611	7.361235531	18.343285	30.6220932	0.75800842	9.414894104	-27352124.9	-27353636.59	-27489616.16	-4833265.82	-4458287.953	-4937573.473	-18513550	-18130432	-17695382	-1245458.963	-3745513.362	-1125703.999	-13202.65377	-13190.01123	-13202.62242	-1398.015454	-2149.780981	-1419.389609	-6690.212402	-8742.47168	-6490.249023	-957.044231	-1806.081947	-923.5349201	187883.0156	60721.7461	187883.0156	15877.458	11606.0186	15877.458	109250.3594	113909.7969	109250.3594	6083.5015	21699	19103.3457	"0.028571,7,2"	"1,1,1"	"1,7,1"	"1,2,1"	"1,1,1"	"0.028571,6,2"	"2,2"	"1,7"	"2,2"	23.06639161	3.246016246	3.769088162	29.62399345	12.30223602	12.70084125	2.166452408	0.728684843	0.570834517	14627150.02	-27352108.68	-27353623	1942990.38	-4833293.669	-4458294.254	18246434	-18513932	-18130978	2179142.458	-2170293.412	-2170787.948	4525.587238	-13189.32985	-13190.03812	655.8141486	-2330.608277	-2149.784019	4873.55127	-8927.395508	-8742.735352	1214.656695	-1046.51282	-1046.751285	60721.4648	60731.125	60721.4648	11605.9961	10040.8799	11605.9961	113907.2656	112413.4375	113907.2656	7594.3628	28834.6191	28822.4102	"0.6,1,2"	"0.028571,7,2"	"1,1,1"	"0.45714,1,2"	"0.028571,7,2"	"1,1,1"	"1,7"	"3,1"	"1,7"
Steel_2_1_3	4.815261097	4.881618215	5.167851998	7.557999846	5.822347274	7.794085505	23.19881439	5.604318142	13.9418335	-8940646.154	-10142286.52	-8940713.132	-742138.9879	-2499377.194	-722099.4781	-7405791	-9289138	-6829910.5	-2668320.401	-3062318.549	-2686113.748	-9058.980338	-9535.217089	-9059.03016	-751.9619805	-2349.719405	-731.6572266	-7503.814453	-8732.922852	-6920.311523	-2703.638437	-2878.952939	-2721.667297	103675.8906	112023.5859	103675.5	5313.5215	29155.9355	6019.2065	120856.2344	102767.0078	120832.1875	12173.6826	19685.8633	19262.1074	"1,2,1"	"1,1,1"	"0.05,4,2"	"1,2,1"	"1,1,1"	"0.05,4,2"	"2,4"	"2,1"	"2,2"	11.10356654	8.960060421	9.453344443	12.5584023	10.90140902	11.27510078	6.022224903	3.75927043	3.738709927	4910169.908	-10142909.68	-10142288.94	1179332.49	-2709057.151	-2499376.937	9512448	-9588956	-9289146	2995255.536	-1580508.374	-1581345.487	3331.002939	-9535.847728	-9535.256359	671.8906063	-2546.844139	-2349.719164	5427.870605	-9014.788086	-8732.930664	2901.712637	-1485.870642	-1486.657631	45163.0547	45165.2422	45163.0547	8661.5693	8210.6201	8661.5693	82218.2656	82235.4453	82218.2656	14735.8408	23747.541	23736.1406	"0.6,1,2"	"0.05,5,2"	"1,1,1"	"0.5,1,2"	"0.05,5,2"	"1,1,1"	"1,5"	"3,1"	"1,5"
Steel_2_1_4	11.49615261	5.838375612	14.26045324	18.70790486	9.949506644	21.60639102	41.74369812	2.102334499	21.39287186	-30259708.69	-30260064	-27573771.53	-3999472.155	-3761251.738	-2316177.304	-18132592	-17676908	-12662080	-1828129.017	-3787245.09	-1652458.411	-13215.14366	-12783.85058	-13215.7511	-837.801721	-1588.992425	-856.7386056	-5649.089355	-7467.852539	-5525.359863	-994.4052311	-1599.973673	-867.546202	143161.2656	149068.7344	143161.5469	1795.498	28861.7402	1884.9462	77473.625	109369.3281	77865.0156	2742.6233	18464.793	2518.1321	"0.026316,14,2"	"1,1,1"	"1,13,1"	"0.026316,3,2"	"1,1,1"	"0.026316,12,2"	"2,7"	"2,1"	"2,8"	28.70628253	15.98801996	16.82329839	31.97929787	28.03481292	28.67121499	5.22432518	1.782781005	1.718102336	12539608.65	-30259715.9	-30260062.85	1192276.588	-3999473.765	-3761221.015	13439461	-18133334	-17678256	2362544.261	-1314435.416	-1314193.407	4312.720407	-12783.72128	-12783.84096	473.9413974	-1689.63259	-1588.979446	4060.94751	-7660.675781	-7468.421875	1170.573118	-555.301284	-555.199044	149069.0781	149069.0781	56545.832	31313.1387	31313.1387	11959.2246	113293.5391	113293.5391	90402.5938	4135.0791	14599.1807	21486.1426	"0.5,2,2"	"0.026316,14,2"	"1,1,1"	"0.42105,1,2"	"0.026316,14,2"	"1,1,1"	"2,14"	"2,14"	"1,14"
Steel_2_1_5	10.24968805	7.146110331	12.91512254	14.35761042	9.837587559	16.645116	56.39426804	17.57089806	31.6174469	-25436868.68	-25437155.65	-25436868.68	-3966758.576	-3756459.716	-3966758.576	-17243218	-16734839	-17243218	-1927875.331	-2926398.983	-1529998.703	-13536.15034	-12760.48887	-13536.15834	-912.498764	-1884.406366	-918.905928	-7260.272461	-8394.935547	-7047.148926	-1122.261729	-1468.011183	-984.2912555	217486.7031	177754.2344	217486.7031	3881.9839	32517.998	3881.9839	131044.3438	111453.1563	131044.3438	5599.2988	10075.3789	9182.9482	"0.034483,7,2"	"1,1,1"	"0.034483,7,2"	"1,2,1"	"1,1,1"	"0.034483,6,2"	"2,4"	"2,1"	"2,4"	19.62844569	17.95577413	18.30511597	26.87594975	25.23488361	25.85624783	33.05033875	15.55553913	15.47692013	13209246.36	13962829.48	14478732.4	1828734.475	1907579.857	2005689.617	19611290	20266350	20514872	2359296.131	2457283.38	2344699.485	5539.479822	6630.937922	6120.931893	669.0941095	824.9305641	789.7595717	6824.894531	8250.713867	7000.467773	1206.248095	1161.812511	1217.837199	56816.418	56816.6055	56816.418	10607.4512	10049.8359	10607.4512	78390.1094	78388.1328	78390.1094	4169.502	8903.8184	8903.8027	"0.55172,1,2"	"0.58621,1,2"	"0.44828,7,1"	"0.48276,1,2"	"0.55172,1,2"	"0.55172,7,1"	"1,7"	"3,1"	"1,7"
Steel_2_1_6	5.032469622	6.30879217	6.321280546	7.439888517	8.621371868	8.570858445	29.79415321	30.6464119	30.44609833	-10797874.91	-10797874.91	-10797862.59	-588681.168	-588681.168	-553574.3852	-8279043.5	-8279043.5	-8279376.5	-2644117.707	-2109190.108	-2111875.582	-10327.65118	-8823.441004	-8823.424846	-563.0448258	-2121.357971	-2252.103856	-7918.501465	-5975.742188	-5990.694824	-2528.969627	-2469.066003	-2466.096968	120960	101850.6172	101850.4531	3892.769	28105.7324	30015.5879	126662.2422	64447.9023	64475.7383	6228.3984	6075.3281	6022.3032	"1,2,1"	"1,2,1"	"0.052632,5,2"	"1,2,1"	"0.052632,1,2"	"1,6,1"	"2,2"	"2,1"	"2,6"	13.28709979	13.69670812	13.68594845	13.50494181	13.82889584	13.83016146	14.86248016	13.21675682	13.10922337	3565164.577	3565226.799	3565164.577	865417.6598	821821.9187	865417.6598	9572253	9559479	9572253	3177547.164	3088125.796	3084944.125	2388.264904	1271.261306	1272.656821	494.1112635	285.7793113	300.0814976	5796.546387	4499.519531	4506.691406	2745.818091	2899.261405	2897.186918	30530.498	30530.5039	30530.498	9237.6963	8650.6641	9237.6963	60688.668	60688.6328	60688.668	6019.0532	6824.0571	6824.0547	"0.47368,6,2"	"0.47368,1,2"	"0.47368,6,2"	"0.42105,1,2"	"0.36842,1,2"	"0.36842,6,2"	"1,6"	"3,1"	"1,6"
Steel_2_1_7	0.86772218	1.029034366	1.034380783	3.218613599	2.878637341	3.495773451	12.79170036	2.398043394	10.96554279	-2524199.244	-2426799.295	-2524199.729	-207340.2612	-720453.8397	-187785.633	-3019026	-2491271	-2942794.5	-1450183.993	-1806832.533	-1369154.89	-8916.340827	-8377.683903	-8916.278284	-732.4029476	-2487.076281	-663.3287252	-10664.32324	-8600.108398	-10395.04492	-5122.589434	-6237.360518	-4836.364492	51403.4453	13985.2314	14883.9941	1689.105	6692.6748	0	76918.5859	47861.1563	44679.9766	9178.8711	15049.959	6981.853	"1,2,1"	"1,1,1"	"0.090909,7,2"	"1,2,1"	"1,1,1"	"0.090909,7,2"	"2,2"	"1,8"	"1,7"	8.257106648	1.955270886	2.25211233	7.291566587	7.26417238	7.720138326	2.155679941	0.935884655	0.863584578	1005378.671	-2426740.526	-2426799.788	231233.5293	-784383.5666	-720453.7237	3189867.5	-2941322	-2901127.5	1949084.92	-507267.2449	-507098.7723	3470.796532	1948.710041	3993.305702	562.5870902	400.2252187	608.9153932	6837.967285	5263.939941	6219.225098	4742.089165	5273.545397	4509.347476	13985.2334	13985.8887	13985.2334	6692.6724	6244.7363	6692.6724	55369.3164	54593.8789	55369.3164	10646.8369	26570.8926	26576.6367	"0.54545,1,2"	"0.090909,8,2"	"1,1,1"	"0.54545,1,2"	"0.45455,1,2"	"0.63636,8,1"	"1,8"	"3,1"	"1,8"
Steel_2_1_8	9.362812558	11.55955946	11.49573062	11.58293332	13.15511524	13.22248232	62.15683746	58.76673126	66.23041534	-14867617.19	-13361414.74	-14152942.54	-272955.6657	-2550892.241	-959653.0406	-8448737	-6692936	-7895722.5	-1844824.382	-1897098.007	-1589763.386	-12522.1112	-10781.96244	-10781.99681	-229.8940464	-2058.427599	-2159.943276	-7115.860352	-5400.825684	-5581.418457	-1553.783985	-1530.85216	-1497.617122	139016.2188	125468.9844	125469.3203	5880.1807	28901.3691	30652.0215	117492.6406	49188.4609	51485.5391	3876.7112	4004.7632	3316.7471	"0.045455,3,2"	"0.045455,1,2"	"0.045455,7,2"	"0.045455,3,2"	"0.045455,1,2"	"1,8,1"	"2,7"	"2,1"	"2,8"	18.45319943	19.12612416	19.22753738	21.05939292	21.73392659	21.90450348	27.08711052	22.66584778	22.51051331	5936242.625	5936242.625	5985618.317	1055181.299	1055181.299	1072838.91	12395895	12395895	12633074	2124504.068	2049756.498	2013000.501	4005.468745	3012.353362	4060.839342	612.7448628	478.729594	606.0462109	7018.114746	5944.961426	7174.311523	1603.001442	1669.301083	1529.663044	37708.0586	37708.332	37708.0586	9662.8799	9068.8389	9662.8799	63772.5156	63772.4922	63772.5156	3962.8308	4768.5796	4768.5112	"0.5,1,2"	"0.5,1,2"	"0.5,8,2"	"0.45455,1,2"	"0.40909,1,2"	"0.45455,8,2"	"1,8"	"3,1"	"1,8"
Steel_2_1_9	11.64216242	11.88550356	11.56335852	14.75657215	14.81839819	14.65668731	83.14116669	68.5980072	73.80529785	-24621221.4	-24621381.64	-24621221.4	-3469765.406	-3258191.962	-3469765.406	-14302014	-13894090	-14302014	-1995134.24	-2036584.636	-2008731.014	-12937.29531	-12921.55756	-12937.29531	-1823.193079	-1721.844929	-1823.193079	-7515.013184	-7294.079102	-7515.013184	-1048.346074	-1071.255778	-1055.490517	178236.5	178237.2813	178236.5	32276.123	30183.7188	32276.123	86791.5625	83633.1328	86791.5625	2476.1804	3339.1011	2858.208	"1,6,1"	"0.035714,1,2"	"1,6,1"	"1,6,1"	"1,1,1"	"1,6,1"	"2,6"	"2,1"	"2,6"	19.70830527	20.95471349	20.71080317	28.36333096	29.79336447	29.41611496	43.93833923	36.26237869	36.03653717	12383989.19	12383989.19	12392385.64	1308268.183	1308268.183	1445474.072	20868098	20868098	20643338	2099111.52	1974254.177	2007708.604	5161.014284	4311.970943	4340.23153	548.3918347	472.114894	501.7072718	7567.788574	6756.307129	6740.352051	1126.541476	1138.935313	1152.280088	53712.2578	53713.082	53712.2578	9869.8564	9162.1553	9869.8564	69999.125	69999.2969	69999.125	3204.958	3907.7366	3907.7153	"0.53571,1,2"	"0.53571,1,2"	"0.53571,6,2"	"0.46429,1,2"	"0.42857,1,2"	"0.42857,6,2"	"1,6"	"3,1"	"1,6"
Steel_2_1_10	1.09535622	1.763651687	1.475210646	3.575443761	4.403166641	4.586437171	19.09575653	17.74502563	16.70376396	-3101136.941	-2927571.038	-2946589.332	14353.12843	-50997.5702	-47588.32492	-3371612	-3449133.75	-3411835.25	-1494924.261	-931217.4923	-1144317.107	-9676.622194	-8477.468606	-8934.051299	31.62998768	-2751.565244	-590.6093553	-10520.57129	-6031.85791	-9712.561523	-4664.669963	-4753.295201	-3891.693857	57049.6055	48759.9648	57049.6055	0	18720.8809	0	78871.6875	30545.6855	78871.6875	8816.5176	9221.7871	8242.0752	"1,4,1"	"1,3,1"	"1,6,1"	"1,4,1"	"1,1,1"	"0.083333,7,2"	"2,4"	"2,1"	"2,4"	9.256344503	2.558890427	3.369654211	8.369757488	8.067208269	8.57383154	7.302607059	5.15924263	5.106212616	1012476.549	-2793007.751	-2792635.444	321384.8501	-992029.0387	-906426.2674	3633585.25	-3481185.5	-3381850.25	1871224.628	-347400.4943	-347300.2116	3073.61679	3073.61679	3266.667055	708.8629921	708.8629921	791.766194	7056.365723	7056.365723	5520.000977	4127.269497	4282.056893	4229.796832	14602.3623	14602.9795	14602.3623	6272.1479	5767.3867	6272.1479	48409.7656	48411.0742	48409.7656	8191.4438	11716.2129	11714.9238	"0.5,1,2"	"0.083333,8,2"	"1,1,1"	"0.5,1,2"	"0.5,1,2"	"0.66667,8,1"	"1,8"	"3,1"	"1,8"
