id,st1tol_LDabt,st1tol_TD1abt,st1tol_TD2abt,sv2tol_LDabt,sv2tol_TD1abt,sv2tol_TD2abt,vtol_LDabt,vtol_TD1abt,vtol_TD2abt,DL1M_ctrltol_LDabt,DL1M_ctrltol_TD1abt,DL1M_ctrltol_TD2abt,DL2M_ctrltol_LDabt,DL2M_ctrltol_TD1abt,DL2M_ctrltol_TD2abt,LLM_ctrltol_LDabt,LLM_ctrltol_TD1abt,LLM_ctrltol_TD2abt,SettM_ctrltol_LDabt,SettM_ctrltol_TD1abt,SettM_ctrltol_TD2abt,DL1fb_ctrltol_LDabt,DL1fb_ctrltol_TD1abt,DL1fb_ctrltol_TD2abt,DL2fb_ctrltol_LDabt,DL2fb_ctrltol_TD1abt,DL2fb_ctrltol_TD2abt,LLfb_ctrltol_LDabt,LLfb_ctrltol_TD1abt,LLfb_ctrltol_TD2abt,Settfb_ctrltol_LDabt,Settfb_ctrltol_TD1abt,Settfb_ctrltol_TD2abt,DL1V_ctrltol_LDabt,DL1V_ctrltol_TD1abt,DL1V_ctrltol_TD2abt,DL2V_ctrltol_LDabt,DL2V_ctrltol_TD1abt,DL2V_ctrltol_TD2abt,LLV_ctrltol_LDabt,LLV_ctrltol_TD1abt,LLV_ctrltol_TD2abt,SettV_ctrltol_LDabt,SettV_ctrltol_TD1abt,SettV_ctrltol_TD2abt,loc_ctrlst1tol_LDabt,loc_ctrlst1tol_TD1abt,loc_ctrlst1tol_TD2abt,loc_ctrlsv2tol_LDabt,loc_ctrlsv2tol_TD1abt,loc_ctrlsv2tol_TD2abt,loc_ctrlvtol_LDabt,loc_ctrlvtol_TD1abt,loc_ctrlvtol_TD2abt,st1tol_LDpier,st1tol_TD1pier,st1tol_TD2pier,sv2tol_LDpier,sv2tol_TD1pier,sv2tol_TD2pier,vtol_LDpier,vtol_TD1pier,vtol_TD2pier,DL1M_ctrltol_LDpier,DL1M_ctrltol_TD1pier,DL1M_ctrlst1tol_TD2pier,DL2M_ctrltol_LDpier,DL2M_ctrltol_TD1pier,DL2M_ctrltol_TD2pier,LLM_ctrltol_LDpier,LLM_ctrltol_TD1pier,LLM_ctrltol_TD2pier,SettM_ctrltol_Ldpier,SettM_ctrltol_TD1pier,SettM_ctrltol_TD2pier,DL1fb_ctrltol_Ldpier,DL1fb_ctrltol_TD1pier,DL1fb_ctrltol_TD2pier,DL2fb_ctrltol_LDpier,DL2fb_ctrltol_TD1pier,DL2fb_ctrltol_TD2pier,LLfb_ctrltol_LDpier,LLfb_ctrltol_TD1pier,LLfb_ctrltol_TD2pier,Settfb_ctrltol_LDpier,Settfb_ctrltol_TD1pier,Settfb_ctrltol_TD2pier,DL1V_ctrltol_LDpier,DL1V_ctrltol_TD1pier,DL1V_ctrltol_TD2pier,DL2V_ctrltol_Ldpier,DL2V_ctrltol_TD1pier,DL2V_ctrltol_TD2pier,LLV_ctrltol_LDpier,LLV_ctrltol_TD1pier,LLV_ctrltol_TD2pier,SettV_ctrltol_LDpier,SettV_ctrltol_TD1pier,SettV_ctrltol_TD2pier,loc_ctrlst1tol_LDpier,loc_ctrlst1tol_TD1pier,loc_ctrlst1tol_TD2pier,loc_ctrlsv2tol_LDpier,loc_ctrlsv2tol_TD1pier,loc_ctrlsv2tol_TD2pier,loc_ctrlvtol_LDpier,loc_ctrlvtol_TD1pier,loc_ctrlvtol_TD2pier
Steel_3_1_1,1.804760686,1.003989085,2.752747804,5.349885851,2.976143619,6.21291764,13.96610928,4.0268507,12.98524284,-1792588.551,-1792588.551,-1714063.785,-669476.541,-669476.541,-692952.4828,-2995675.75,-2995675.75,-2661742.5,-771698.0796,-1387196.71,-743237.9898,-6838.894298,-6838.894298,-6539.25691,-2554.036358,-2554.036358,-2643.596492,-11428.42871,-11428.42871,-10154.48145,-2944.008986,-5292.120958,-2835.434451,45600.8672,16012.0352,39059.0547,2151.6255,5903.1001,0,75034.4609,51253.7969,76147.7188,10286.8906,7287.4971,8450.7842,"1,1,1","1,1,1","0.083333,8,2","1,1,1","1,1,1","0.083333,8,2","2,2","1,8","2,5",0.636485829,0.90207189,0.694429034,3.063848221,2.043867459,3.381791954,2.264725924,3.704596996,1.516429424,-1794199.058,-1711681.64,-1794199.058,-734938.111,-631182.1972,-734938.111,-3315884,-2712577.5,-3315884,-1175996.827,-2258342.207,-1077871.574,-6530.135106,-6530.135106,-6845.101732,-2407.944389,-2407.944389,-2803.77062,-10348.41602,-10348.41602,-12650.01465,-5747.340734,-8615.51937,-4112.053253,16011.9834,34290.3477,16011.9834,5903.0903,14745.8369,5903.0903,51253.6406,52651.1992,51253.6406,12957.8613,22517.3418,19352.041,"0.083333,8,3","1,1,2","0.083333,8,3","1,1,2","1,1,2","0.083333,8,3","1,8","3,1","1,8"
Steel_3_1_2,0.561190617,0.630398345,0.794171711,4.77948659,4.544629051,5.553896724,19.14974403,12.23995018,17.39515877,-4996800.702,-4220943.607,-4589964.345,95952.99425,-1271111.427,-303633.1385,-5909171.5,-5614325.5,-5742886.5,-2380756.486,-2570265.934,-2092750.72,-8334.221301,-6899.461511,-7655.593885,125.5684925,-2077.68611,-506.4293561,-9855.900391,-9176.855469,-9578.553711,-3970.860954,-4201.209836,-3490.496475,77637.8828,62872.4766,75308.2031,0,21218.9336,0,117540.375,78997.6406,116924.5781,8076.728,11068.4385,7473.397,"0.066667,4,2","1,1,1","0.066667,7,2","0.066667,4,2","1,1,1","0.066667,7,2","2,4","2,1","2,5",0.278119718,0.552600038,0.299668989,3.201847837,3.20064744,3.752561063,6.452569962,4.744021893,5.219094276,-4220778.829,-4589968.541,-4220778.829,-1361516.22,-335087.799,-1361516.22,-5967794.5,-5772346.5,-5967794.5,-3196111.43,-2843140.876,-2966278.27,-8334.272128,-6773.897738,-6899.216319,133.6720831,-2033.001759,-2225.45662,-9925.838867,-8229.795898,-9754.616211,-5901.532611,-6403.193798,-4848.508973,62872.4102,61910.0156,24210.9902,22710.4492,20689.6133,7488.1919,78730.7813,78349.3125,60230.7734,13187.8271,23285.2363,13114.3926,"0.066667,8,3","1,2,2","0.066667,8,3","1,5,2","1,1,2","0.066667,8,3","3,8","3,1","1,8"
Steel_3_1_3,4.635320386,7.327253524,4.769895005,11.19680176,7.326420028,11.52187214,45.9629631,8.861691475,20.87802315,-29166096.91,-30722792.6,-29166096.91,-2484432.01,-3674722.107,-2484432.01,-16851632,-23304210,-16851632,-2417994.987,-3768743.383,-2349775.298,-14468.88203,-13313.69643,-14468.88203,-1232.485746,-1592.436052,-1232.485746,-8359.816406,-10098.84961,-8359.816406,-1199.527435,-1633.18005,-1165.684772,238010.875,193640.8906,224518.9063,16019.2695,28527.3457,15035.665,153751.4375,156225.9063,146668.4063,6299.0488,17117.3516,16985.4688,"0.030303,4,2","1,1,1","0.030303,4,2","0.030303,4,2","1,1,1","0.030303,4,2","2,4","2,1","2,2",2.960798295,6.289072178,3.960939166,7.594834751,5.970166545,8.417116722,18.81834412,6.184597969,6.3703022,-29166343.71,-28690892.53,-28715403.46,-2421579.89,-3631419.575,-2374096.245,-17420724,-20508990,-15889696,-3475601.416,-5581206.865,-3431748.842,-14468.99318,-12433.0249,-14245.26322,-1201.305846,-1573.670956,-1177.749993,-8642.133789,-8887.543945,-7882.616211,-1724.188542,-2418.608745,-1702.434003,85740.7422,179323.0313,85740.7422,10026.8037,28021.8691,10026.8037,112850.9531,143204.4219,112850.9531,5648.9697,29134.8242,16687.4746,"1,2,2","1,1,2","0.030303,4,3","1,2,2","1,1,2","0.030303,4,3","1,5","3,1","1,5"
Steel_3_1_4,3.326534636,2.907065882,4.418051611,2.913784924,2.587961718,3.8236011,14.58485317,10.89998341,12.48658943,-1216616.938,-1016096.64,-937257.6464,-22206.6661,-225515.7408,-263033.0569,-2376095,-2804239.5,-2275405.5,-1601505.165,-1621722.528,-1288246.227,-5410.698188,-4474.167944,-4127.112176,-98.76000951,-993.0157848,-1158.216169,-10567.24023,-12347.93652,-10019.31641,-7122.395797,-7140.947512,-5672.547883,60091.3828,42574.6484,57677.543,0,15292.8906,0,114860.0156,78975.1953,112324.9531,11117.0605,14128.9951,10988.3359,"0.27273,4,2","0.27273,1,2","0.27273,6,2","0.27273,4,2","0.27273,1,2","0.27273,6,2","2,3","2,1","2,4",2.523258209,3.199759578,2.441082474,2.913233117,2.904019189,3.443563855,5.590063572,4.039757729,4.337399006,1406957.569,1200384.155,1483550.191,364715.6022,290056.4963,382259.7993,3725669.5,3554023,4246132.5,2294503.603,2013134.713,1950423.155,646.7501348,1050.477998,6195.836329,276.8490072,110.5876822,1180.418676,-8000.533203,-8470.637695,11009.04883,-10477.33043,-10381.89995,7495.717402,60610.582,41951.6484,15506.8076,0,14991.418,4996.4917,113099.5,78196.1406,56442.8477,24163.002,31065.6094,16992.7949,"0.54545,6,1","0.63636,1,1","0.45455,6,1","0.36364,2,3","0.36364,1,3","0.54545,6,1","3,4","3,1","1,6"
Steel_3_1_5,12.74760775,17.76037224,17.17650842,18.09411655,22.78711293,23.09849058,112.1414108,159.974884,139.6582642,-31429540.92,-29910806.29,-29902950.05,-1260138.52,-1665865.374,-1698296.685,-16513824,-17163488,-17325504,-2146682.331,-1555115.11,-1589682.057,-13518.10266,-10643.10254,-10636.1121,-541.9949007,-1274.181725,-1352.797672,-7102.717773,-6853.602539,-6696.147461,-923.3039529,-841.3980523,-835.8164557,210987.625,211020.4688,210987.625,7651.4604,8004.771,7651.4604,167801.6875,167350.0625,167801.6875,3164.8464,2272.551,2602.4614,"0.028571,3,2","1,2,1","0.028571,4,2","0.028571,3,2","0.028571,1,2","1,5,1","2,4","2,2","2,4",8.27272435,11.3994039,11.17930519,11.88049325,15.20509174,15.27657749,38.54889679,54.18104172,50.80683899,-29903171.28,-29903171.28,-29911108.17,-1675170.018,-1675170.018,-1687035.069,-17795448,-17795448,-17617286,-3204677.637,-2325684.304,-2397146.038,-13518.3381,-10636.10748,-10643.2733,-541.3201163,-1280.028936,-1348.449825,-7254.503418,-6849.095703,-7014.048828,-1389.62979,-1261.422127,-1236.534388,211022.5,210988.5781,211022.5,7603.4829,8038.6479,7603.4829,167669.1563,167479.4063,167669.1563,7207.4648,5102.4849,5692.6855,"1,2,2","1,2,2","0.028571,4,3","0.028571,3,3","0.028571,1,3","1,5,2","3,4","3,2","3,4"
Steel_3_1_6,5.49104237,0.969308436,7.033145947,12.40749646,4.071539692,13.39643382,0,0,0,-27903848.71,-27903848.71,-25036744.36,-3394154.059,-3394154.059,-2753373.455,-19828910,-19828910,-11581926,-909894.9931,-5154470.726,-1845141.37,-14748.75602,-14298.25036,-12552.10282,-1621.971935,-1739.205206,-1335.478775,-6822.742676,-10160.57129,-6653.910156,-1189.579753,-2641.212557,-1303.50625,"162734.7813,101772.7266,101770.1484,69200.3984,162733.9688","162734.7813,101772.7266,101770.1484,69200.3984,162733.9688","162734.7813,101772.7266,101770.1484,69200.3984,162733.9688","24708.9297,8168.7319,10048.9209,15987.7422,28411.9375","24708.9297,8168.7319,10048.9209,15987.7422,28411.9375","24708.9297,8168.7319,10048.9209,15987.7422,28411.9375","198130.0625,150266.1563,151871.6563,175975.4531,204302.9375","198130.0625,150266.1563,151871.6563,175975.4531,204302.9375","198130.0625,150266.1563,151871.6563,175975.4531,204302.9375","0,1900.5348,0,0,952.2018","47771.7383,643.3135,38912.1641,3519.8752,125.4076","0,1257.2214,0,0,826.7943","1,1,1","1,1,1","1,7,1","1,7,1","1,1,1","1,2,1","2,4,1,2,3,1,1,8,8,8","2,4,1,2,3,1,1,8,8,8","2,4,1,2,3,1,1,8,8,8",2.725044453,2.745073183,1.297933485,9.669189104,4.455990862,5.454356104,0,0,0,-27904499.13,-20859200.93,-27903892.53,-3702538.384,-2469511.548,-3394128.072,-20287124,-16794386,-19830134,-1397201.995,-7383478.705,-3847305.502,-12551.47804,-10688.53495,-14298.50313,-1400.493307,-1265.407305,-1739.19189,-6512.275391,-8605.644531,-10161.19824,-1818.360408,-3783.382952,-1971.405435,"162732.1094,101772.75,101769.5313,69199.0078,162734.1094","162732.1094,101772.75,101769.5313,69199.0078,162734.1094","162732.1094,101772.75,101769.5313,69199.0078,162734.1094","24707.2148,8168.7231,10048.4922,15987.5273,28411.9785","24707.2148,8168.7231,10048.4922,15987.5273,28411.9785","24707.2148,8168.7231,10048.4922,15987.5273,28411.9785","198135.9688,150266.125,151863.3125,175967.9063,204303.5313","198135.9688,150266.125,151863.3125,175967.9063,204303.5313","198135.9688,150266.125,151863.3125,175967.9063,204303.5313","18705.9902,0,18179.7207,5449.3608,0","0,0,0,61293.5195,4411.7612","52084.0039,0,51789.4805,0,0","0.027778,8,3","1,1,2","1,1,1","1,7,2","1,1,2","1,1,1","2,4,1,2,3,1,1,8,8,8","2,4,1,2,3,1,1,8,8,8","2,4,1,2,3,1,1,8,8,8"
Steel_3_1_7,0,0,0.432636142,3.302529927,2.29716986,3.096790897,0,0,0,-3465277.888,,-2962339.451,-1473946.025,,-1209326.211,-6123964.5,,-4799044.5,-762240.4966,,-1107920.247,-8300.923439,-7594.888351,-7813.790325,-119.2511114,-3230.320714,-2778.689342,-9497.537109,-13421.36621,-8122.387207,-5823.725335,-5104.983775,-6086.435149,"51994.4766,51993.8945,80184.5078,69199.0078,162734.1094","51994.4766,51993.8945,80184.5078,69199.0078,162734.1094","51994.4766,51993.8945,80184.5078,69199.0078,162734.1094","9999.6621,10544.0996,26189.8613,15987.5273,28411.9785","9999.6621,10544.0996,26189.8613,15987.5273,28411.9785","9999.6621,10544.0996,26189.8613,15987.5273,28411.9785","99928.9297,103165.1641,117754.8438,175967.9063,204303.5313","99928.9297,103165.1641,117754.8438,175967.9063,204303.5313","99928.9297,103165.1641,117754.8438,175967.9063,204303.5313","3233.5574,0,246.1765,0,0","349.1459,29935.2012,140.757,0,0","2884.4114,0,105.4194,0,0","1,1,1","1,0.066667,1,5,1,3","0.066667,5,2","1,2,1","1,1,1","1,5,1","4,1,3,1,5,5","4,1,3,1,5,5","4,1,3,1,5,5",0,0.18594091,0,2.362936113,1.911762479,2.414150035,0,0,0,-3464811.472,-2962867.312,,-1609847.688,-1110147.593,,-6476393,-4694646,,-946416.1633,-4223980.09,,-7814.251997,-6493.654543,-8219.341032,-2562.110747,-2433.014984,-2917.589466,-8892.020508,-10288.85156,-8766.082031,-7644.730847,-9257.333814,-7235.326143,"51994.4805,51993.8828,80184.5,69199.0078,162734.1094","51994.4805,51993.8828,80184.5,69199.0078,162734.1094","51994.4805,51993.8828,80184.5,69199.0078,162734.1094","9999.6611,10544.0967,26189.8613,15987.5273,28411.9785","9999.6611,10544.0967,26189.8613,15987.5273,28411.9785","9999.6611,10544.0967,26189.8613,15987.5273,28411.9785","99928.9219,103165.1641,117754.8438,175967.9063,204303.5313","99928.9219,103165.1641,117754.8438,175967.9063,204303.5313","99928.9219,103165.1641,117754.8438,175967.9063,204303.5313","0,44864.3555,0,0,0","0,0,0,0,0","0,57935.6133,0,0,0","0.066667,5,3","1,1,2","1,0.066667,1,5,1,3","0.066667,1,3","1,1,2","1,5,2","4,1,3,1,5,5","4,1,3,1,5,5","4,1,3,1,5,5"
Steel_3_1_8,4.512755338,3.384437836,5.333397699,9.466625614,7.099699299,10.39384715,33.96774292,9.401297569,30.98173904,-5498907.079,-5498907.079,-5128167.181,-1737153.57,-1737153.57,-532225.9363,-6001344.5,-6001344.5,-4566464,-1240204.618,-1653669.023,-1221789.642,-8214.055603,-8214.055603,-8442.856956,-2594.853546,-2594.853546,-876.2401863,-8964.44043,-8964.44043,-7518.083984,-1852.541656,-2470.149446,-2011.51637,"65181.6289,51993.8828,80184.5,69199.0078,162734.1094","25807.1758,51993.8828,80184.5,69199.0078,162734.1094","65181.6289,51993.8828,80184.5,69199.0078,162734.1094","3001.7061,10544.0967,26189.8613,15987.5273,28411.9785","10171.3164,10544.0967,26189.8613,15987.5273,28411.9785","3001.7061,10544.0967,26189.8613,15987.5273,28411.9785","82999.2344,103165.1641,117754.8438,175967.9063,204303.5313","53132.9492,103165.1641,117754.8438,175967.9063,204303.5313","82999.2344,103165.1641,117754.8438,175967.9063,204303.5313","4633.416,57935.6133,0,0,0","4760.1138,57935.6133,0,0,0","5053.3999,57935.6133,0,0,0","1,1,1","1,1,1","0.052632,9,2","1,1,1","1,1,1","0.052632,9,2","2,9","1,10","2,9",2.600515142,2.717828488,2.799283081,6.051731736,4.964558428,6.514290183,8.25388813,4.998855114,4.141957283,-5499017.072,-5380125.063,-5499017.072,-1894954.054,-1672275.315,-1894954.054,-6355644.5,-5325718.5,-6355644.5,-1837825.075,-2578794.201,-1707327.125,-8214.261954,-8036.554901,-8214.261954,-2830.56624,-2497.942385,-2830.56624,-9493.671875,-7955.231934,-9493.671875,-2745.230472,-3852.044745,-2550.300632,"25807.0469,51993.8828,80184.5,69199.0078,162734.1094","66090.9297,51993.8828,80184.5,69199.0078,162734.1094","25807.0469,51993.8828,80184.5,69199.0078,162734.1094","10171.2744,10544.0967,26189.8613,15987.5273,28411.9785","24386.8086,10544.0967,26189.8613,15987.5273,28411.9785","10171.2744,10544.0967,26189.8613,15987.5273,28411.9785","53131.5898,103165.1641,117754.8438,175967.9063,204303.5313","62504.1328,103165.1641,117754.8438,175967.9063,204303.5313","53131.5898,103165.1641,117754.8438,175967.9063,204303.5313","5422.1533,57935.6133,0,0,0","15675.5967,57935.6133,0,0,0","10804.999,57935.6133,0,0,0","0.052632,10,3","1,1,2","0.052632,10,3","0.052632,10,3","1,1,2","0.052632,10,3","1,10","3,1","1,10"
Steel_3_1_9,5.033946334,3.829945518,5.66970966,10.55456154,8.580940339,11.82485083,46.73064804,18.05973053,41.171772,-13615035.65,-12628257.56,-13480801.79,-806289.5444,-2677094.475,-969582.6059,-9634208,-10796715,-9564299,-2112820.365,-2498927.833,-1891080.398,-11058.88273,-9946.684882,-10949.82812,-654.9113863,-2108.596787,-787.5467231,-7825.417969,-8503.964844,-7768.633789,-1716.145427,-1968.264941,-1536.036395,"139028.7969,51993.8828,80184.5,69199.0078,162734.1094","116595.0938,51993.8828,80184.5,69199.0078,162734.1094","140484.7656,51993.8828,80184.5,69199.0078,162734.1094","6493.8555,10544.0967,26189.8613,15987.5273,28411.9785","29982.832,10544.0967,26189.8613,15987.5273,28411.9785","2355.4219,10544.0967,26189.8613,15987.5273,28411.9785","136703.3125,103165.1641,117754.8438,175967.9063,204303.5313","87403.0703,103165.1641,117754.8438,175967.9063,204303.5313","123777.6641,103165.1641,117754.8438,175967.9063,204303.5313","5527.8862,57935.6133,0,0,0","9446.0098,57935.6133,0,0,0","6669.937,57935.6133,0,0,0","1,2,1","1,1,1","1,7,1","1,2,1","1,1,1","1,7,1","2,7","2,1","2,6",3.159380704,3.397681027,3.51543667,6.927989659,6.317195334,7.726107633,17.59227371,8.71965313,9.571836472,-13614821.95,-12209181.21,-13614821.95,-770796.503,-2634121.689,-770796.503,-10080996,-9242443,-10080996,-3133078.774,-3787420.452,-2815749.38,-11321.72558,-9616.506035,-11058.70311,-234.3025576,-2074.749539,-626.0820444,-8056.625,-7279.752441,-8188.322754,-2593.877913,-2983.138126,-2287.101876,"139028.5625,51993.8828,80184.5,69199.0078,162734.1094","112193.0234,51993.8828,80184.5,69199.0078,162734.1094","47585.2695,51993.8828,80184.5,69199.0078,162734.1094","7309.5581,10544.0967,26189.8613,15987.5273,28411.9785","28751.9199,10544.0967,26189.8613,15987.5273,28411.9785","11315.9492,10544.0967,26189.8613,15987.5273,28411.9785","136096.1094,103165.1641,117754.8438,175967.9063,204303.5313","81192.5938,103165.1641,117754.8438,175967.9063,204303.5313","67460.9688,103165.1641,117754.8438,175967.9063,204303.5313","11284.7021,57935.6133,0,0,0","18109.7246,57935.6133,0,0,0","12304.665,57935.6133,0,0,0","0.041667,7,3","1,1,2","0.041667,7,3","0.041667,3,3","1,1,2","0.041667,7,3","3,2","3,1","1,8"
Steel_3_1_10,1.177038666,1.49207244,1.483306768,4.815850357,6.106022309,5.988051797,25.98193932,24.87110901,24.19423676,-5223276.998,-5223276.998,-5218729.79,-222847.794,-222847.794,-198651.0487,-6326400,-6326400,-6325228,-1889358.491,-1490442.379,-1524861.31,-10056.52509,-9175.276146,-9167.276787,106.5011727,-391.4567792,-348.9525219,-10820.24707,-11113.02051,-11110.96191,-3318.968345,-2618.126762,-2678.587418,"67750.0313,51993.8828,80184.5,69199.0078,162734.1094","67848.0859,51993.8828,80184.5,69199.0078,162734.1094","67750.0313,51993.8828,80184.5,69199.0078,162734.1094","24226.5684,10544.0967,26189.8613,15987.5273,28411.9785","22731.6191,10544.0967,26189.8613,15987.5273,28411.9785","24226.5684,10544.0967,26189.8613,15987.5273,28411.9785","60957.5156,103165.1641,117754.8438,175967.9063,204303.5313","60920.6016,103165.1641,117754.8438,175967.9063,204303.5313","60957.5156,103165.1641,117754.8438,175967.9063,204303.5313","5741.6719,57935.6133,0,0,0","6971.5977,57935.6133,0,0,0","6339.2373,57935.6133,0,0,0","1,2,1","1,2,1","0.0625,5,2","1,3,1","1,2,1","0.0625,5,2","2,6","2,1","2,6",0.679185747,0.995268524,0.99795373,3.134552421,4.086995782,4.016681634,8.620610237,8.296171188,8.481053352,-5723281.561,-5218732.329,-5223296.255,74045.80135,-238234.182,-182725.1898,-6342263.5,-6324125,-6328453,-2826125.769,-2224811.865,-2275039.274,-10055.00338,-9167.281245,-9175.310506,97.87905801,-418.4846702,-320.9769906,-11139.52148,-11109.02441,-11116.62695,-4964.503909,-3908.127925,-3996.357921,"67848.3984,51993.8828,80184.5,69199.0078,162734.1094","67750.0078,51993.8828,80184.5,69199.0078,162734.1094","67848.3984,51993.8828,80184.5,69199.0078,162734.1094","24336.041,10544.0967,26189.8613,15987.5273,28411.9785","22630.4395,10544.0967,26189.8613,15987.5273,28411.9785","24336.041,10544.0967,26189.8613,15987.5273,28411.9785","61104.3945,103165.1641,117754.8438,175967.9063,204303.5313","60781.3398,103165.1641,117754.8438,175967.9063,204303.5313","61104.3945,103165.1641,117754.8438,175967.9063,204303.5313","13767.6895,57935.6133,0,0,0","15755.6113,57935.6133,0,0,0","14304.8359,57935.6133,0,0,0","1,3,2","1,2,2","0.0625,5,3","0.0625,3,3","1,2,2","0.0625,5,3","3,6","3,1","3,6"
